country,year,positive,examined,long,lat,utm_x,utm_y
Mali,2004,1,64,-4.2349,14.3168,1014.398268042212,1588.0616799669815
Mali,2004,2,70,-9.826,14.139,410.8507548668152,1563.2560856389139
Mali,2004,44,64,-9.745,12.46,419.03800437587216,1377.5339505989489
Mali,2004,0,60,-6.002,11.763,826.7795460560967,1302.0909451871278
Mali,2004,0,67,-7.6540999,12.0433,646.50241780975,1331.7007465722882
Mali,2004,1,52,-10.784,14.095,307.39624004515736,1558.9632795617238
Mali,2004,6,69,-9.3559999,12.813,461.3659608811169,1416.482862267257
Mali,2004,1,60,-3.9502001,15.2524,1042.8589879134668,1692.5480785312345
Mali,2004,3,85,-7.921,12.522,617.2344294280051,1384.5158213865468
Mali,2004,0,69,-0.021199999,16.356899,1462.2712744234213,1829.7741473060712
Mali,2004,0,60,-8.327,12.378,573.1600428344481,1368.4448118511368
Mali,2004,0,67,-7.5063,13.3022,661.7971349084994,1471.0406129588114
